"name","description","category","url"
"Voting Wait Times","crowdsourced wait times at voting precincts","OPEN DATA SHARING PLATFORM","https://brigades.opendatanetwork.com/d/ikiz-kvvr"
"Georgia Early Voting Locations for 2015/06/16 Special Election","","CIVIC ENGAGEMENT","https://brigades.opendatanetwork.com/d/3pxc-czyd"
"Atlanta City Planning: Zoning Base","","","https://brigades.opendatanetwork.com/d/wgws-x45u"
"Georgia general election, 2014/11/04","","CIVIC ENGAGEMENT","https://brigades.opendatanetwork.com/d/ih6n-tzbh"
"Poverty Estimates by State","","","https://brigades.opendatanetwork.com/d/iqtt-xz3g"
"Atlanta Neighborhoods + Grocery Stores","","","https://brigades.opendatanetwork.com/d/avr3-r95k"
"Atlanta City Limits","","","https://brigades.opendatanetwork.com/d/dke6-dge8"
"Total Weight, Sales, and Discounts by Produce Code","","","https://brigades.opendatanetwork.com/d/y353-8tyb"
"Address GIS data for Fulton County, GA and the City of Atlanta","Address points are intended as a comprehensive collection of all addresses in Fulton County and the City of Atlanta represented as point locations. The locations generally represent the drveway access to properties, thus the commonly used name 'Driveway Access Points', or 'Daccess' for short. Address attributes include the individual components of the address, the status (active or inactive), and the date the address was entered into the database. The primary source of address points are development plats approved through Fulton County and the City of Atlanta. Addresses are also updated as a result of address changes processed by the County and it's municipalities. The address points are maintained primarily by Fulton County GIS, with contributions from the GIS Division of the City of Atlanta Department of Planning and Community Development.","HOUSING","https://brigades.opendatanetwork.com/d/a9ww-h2z3"
"Brigade - Code for Atlanta - Topics","","OPEN DATA SHARING PLATFORM","https://brigades.opendatanetwork.com/d/7t4q-u2tw"
"CVS","Locations of CVS stores in Atlanta","","https://brigades.opendatanetwork.com/d/wejt-6vgb"
"Georgia Ports","US Army Corps of Engineers Data - Filtered by state of Georgia\nNational Transportation Atlas Database 2012","","https://brigades.opendatanetwork.com/d/975v-rfw7"
"Fulton County Trans Centerline","","","https://brigades.opendatanetwork.com/d/nb99-8u9e"
"20150714-locations","","CIVIC ENGAGEMENT","https://brigades.opendatanetwork.com/d/h66u-uh6e"
"Atlanta City Planning: Zoning Overlay","","","https://brigades.opendatanetwork.com/d/yvig-48uc"
"Atlanta Bicycle Facilities","","","https://brigades.opendatanetwork.com/d/arby-i5ud"
"U.S. Army Corps of Engineers Ports","","TRANSPORTATION","https://brigades.opendatanetwork.com/d/gnvb-egr4"
"Atlanta City Planning: Landmark Sites","","","https://brigades.opendatanetwork.com/d/u4fv-qba7"
"Georgia Voting Precincts + Polling Places 2014","Fetch latest precinct data every year from the Census Bureau","PLANNING","https://brigades.opendatanetwork.com/d/3a24-pwgv"
"Georgia Voting Precincts 2014","Fetch latest precinct data every year from the Census Bureau","PLANNING","https://brigades.opendatanetwork.com/d/2r67-ujxf"
"Reported Crimes - Cleaned","","PUBLIC SAFETY","https://brigades.opendatanetwork.com/d/t6ed-hfyh"
"Map View","","PUBLIC SAFETY","https://brigades.opendatanetwork.com/d/mjap-24hi"
"Atlanta Map","","PUBLIC SAFETY","https://brigades.opendatanetwork.com/d/kmsj-5an9"
